Year,Annual Returns
1998,0.0
1999,34.702700759893766
2000,13.254248888422392
2001,6.467974401552756
2002,-14.725879330148883
2003,51.30351285177732
2004,6.536670785112131
2005,3.656082989038678
2006,18.2092987433246
2007,6.377094611083423
2008,-33.187088604998905
2009,58.8940328020797
2010,13.140753011058948
2011,-1.1380284733915391
2012,25.77450514006987
2013,30.09019045349919
2014,9.228116723456292
2015,-0.9685711488152227
2016,21.75417931818071
2017,24.752769550212594
2018,-2.606478823767644
2019,23.26207197809169
2020,-2.5275200361481898
2021,20.54861370986898
2022,-7.392941116691443
2023,26.799622711912498
